#Latest: Time (min),#Latest: Potential (V),#Latest: Temperature (°C)
0,3.059959412,49.83194081
0.033333333,3.053283691,49.5814881
0.066666667,3.06186676,49.38302134
0.1,3.071403503,49.2504938
0.133333333,3.071594238,49.17438578
0.166666667,3.06892395,49.0839141
0.2,3.069877625,48.98997613
0.233333333,3.069496155,48.93945825
0.266666667,3.069496155,48.88538153
0.3,3.06892395,48.82595614
0.333333333,3.069114685,48.78277637
0.366666667,3.054046631,48.73244101
0.4,3.052902222,48.72345719
0.433333333,3.056144714,48.709086
0.466666667,3.060340881,48.69292271
0.5,3.069114685,48.66958374
0.533333333,3.075218201,48.63907782
0.566666667,3.077316284,48.61576065
0.6,3.084754944,48.62652125
0.633333333,3.09009552,48.61934729
0.666666667,3.092002869,48.60858803
0.7,3.08380127,48.58886793
0.733333333,3.066062927,48.57453027
0.766666667,3.051948547,48.57632228
0.8,3.045082092,48.57990648
0.833333333,3.050041199,48.56019617
0.866666667,3.058624268,48.54944792
0.9,3.066444397,48.54049258
0.933333333,3.074836731,48.49752621
0.966666667,3.089141846,48.45995678
1,3.08265686,48.42598635
1.033333333,3.074264526,48.40990203
1.066666667,3.058242798,48.3956086
1.1,3.046417236,48.36524672
1.133333333,3.051185608,48.33490068
1.166666667,3.057479858,48.32062566
1.2,3.06854248,48.31170556
1.233333333,3.081321716,48.30635415
1.266666667,3.086662292,48.30278681
1.3,3.07598114,48.29208612
1.333333333,3.059005737,48.2956528
1.366666667,3.051185608,48.28138739
1.4,3.052330017,48.26177815
1.433333333,3.057861328,48.22614185
1.466666667,3.067016602,48.19230749
1.5,3.088760376,48.15671349
1.533333333,3.088760376,48.1069182
1.566666667,3.079795837,48.07137599
1.6,3.072738647,48.04118201
1.633333333,3.064346313,48.02520324
1.666666667,3.062057495,48.00922881
1.7,3.064346313,47.99858159
1.733333333,3.072738647,47.98261438
1.766666667,3.084754944,47.98084051
1.8,3.09047699,47.99503295
1.833333333,3.095817566,47.99503295
1.866666667,3.081703186,47.99503295
1.9,3.055381775,47.97906669
1.933333333,3.052902222,47.97906669
1.966666667,3.062438965,47.96310477
2,3.068161011,47.94360161
2.033333333,3.07636261,47.91347304
2.066666667,3.087615967,47.89044391
2.1,3.091621399,47.85857222
2.133333333,3.082084656,47.8249485
2.166666667,3.062057495,47.80195378
2.2,3.056144714,47.79488028
2.233333333,3.058242798,47.78603959
2.266666667,3.055381775,47.77012966
2.3,3.062057495,47.72595777
2.333333333,3.073883057,47.68711363
2.366666667,3.084373474,47.68181867
2.4,3.089904785,47.66417219
2.433333333,3.07598114,47.65535091
2.466666667,3.067398071,47.62713158
2.5,3.057861328,47.60245062
2.533333333,3.038024902,47.59011396
2.566666667,3.033447266,47.57601804
2.6,3.040885925,47.54079278
2.633333333,3.053283691,47.48447544
2.666666667,3.064918518,47.42645353
2.7,3.06854248,47.35795434
2.733333333,3.046226501,47.32461115
2.766666667,3.035163879,47.31759388
2.8,3.026390076,47.33162923
2.833333333,3.022766113,47.34391285
2.866666667,3.026390076,47.37726673
2.9,3.046607971,47.41942438
2.933333333,3.060722351,47.44227213
2.966666667,3.066062927,47.46512857
3,3.050804138,47.4791984
3.033333333,3.042030334,47.45809489
3.066666667,3.032302856,47.44578794
3.1,3.036499023,47.40712535
3.133333333,3.035163879,47.36146522
3.166666667,3.032684326,47.33689333
3.2,3.042221069,47.28251976
3.233333333,3.054428101,47.24571385
3.266666667,3.060340881,47.20893032
3.3,3.055763245,47.16167002
3.333333333,3.044128418,47.12843484
3.366666667,3.026008606,47.07774248
3.4,3.026771545,47.07075374
3.433333333,3.028488159,47.07075374
3.466666667,3.036499023,47.04629949
3.5,3.049087524,47.04280682
3.533333333,3.049659729,47.04979235
3.566666667,3.052520752,47.05328542
3.6,3.062438965,47.05328542
3.633333333,3.055763245,47.04106057
3.666666667,3.043746948,47.02010939
3.7,3.036499023,46.99044087
3.733333333,3.025245667,46.95555518
3.766666667,3.033447266,46.925918
3.8,3.026771545,46.91371862
3.833333333,3.039741516,46.89455309
3.866666667,3.044700623,46.85972201
3.9,3.051948547,46.80403339
3.933333333,3.058242798,46.75187109
3.966666667,3.062057495,46.70669949
4,3.059387207,46.66503196
4.033333333,3.043365479,46.63033048
4.066666667,3.030204773,46.61125296
4.1,3.030204773,46.60778495
4.133333333,3.033447266,46.58524763
4.166666667,3.040122986,46.58178107
4.2,3.037643433,46.57831472
4.233333333,3.045082092,46.57831472
4.266666667,3.061485291,46.54885849
4.3,3.032684326,46.54885849
4.333333333,3.035545349,46.54019755
4.366666667,3.042221069,46.51941624
4.4,3.029251099,46.48998793
4.433333333,3.019523621,46.44673629
4.466666667,3.012084961,46.4156137
4.5,3.012466431,46.419071
4.533333333,3.011703491,46.43290211
4.566666667,3.012466431,46.42944404
4.6,3.016090393,46.39314593
4.633333333,3.02028656,46.36723162
4.666666667,3.025627136,46.35168819
4.7,3.035163879,46.33269592
4.733333333,3.035926819,46.3292434
4.766666667,3.036308289,46.3292434
4.8,3.023147583,46.32579106
4.833333333,3.016471863,46.29990465
4.866666667,3.01399231,46.28092807
4.9,3.007125854,46.26540606
4.933333333,3.01322937,46.26195724
4.966666667,3.01322937,46.28437793
5,3.019142151,46.27402893
5.033333333,3.024482727,46.24299215
5.066666667,3.036499023,46.24299215
5.1,3.035163879,46.23264996
5.133333333,3.035545349,46.22403278
5.166666667,3.022384644,46.20680195
5.2,3.017425537,46.19129824
5.233333333,3.012084961,46.17407638
5.266666667,3.011512756,46.14997369
5.3,3.014564514,46.17407638
5.333333333,3.016471863,46.18268673
5.366666667,3.023529053,46.19129824
5.4,3.030967712,46.19818831
5.433333333,3.040122986,46.20163362
5.466666667,3.039741516,46.16030229
5.5,3.029823303,46.11555726
5.533333333,3.02028656,46.05881114
5.566666667,3.01361084,45.98494555
5.6,3.009033203,45.93689326
5.633333333,3.011131287,45.91631054
5.666666667,3.011131287,45.88716309
5.7,3.018569946,45.85802898
5.733333333,3.016471863,45.83233347
5.766666667,3.028869629,45.82034578
5.8,3.03478241,45.80151251
5.833333333,3.038787842,45.8100724
5.866666667,3.038787842,45.81692113
5.9,3.037261963,45.79124217
5.933333333,3.035926819,45.76899541
5.966666667,3.02734375,45.74675638
6,3.017425537,45.71255757
6.033333333,3.011703491,45.65958545
6.066666667,3.011322021,45.60495032
6.1,3.011512756,45.5708269
6.133333333,3.012466431,45.55036152
6.166666667,3.02028656,45.55036152
6.2,3.023147583,45.54524619
6.233333333,3.026771545,45.5605934
6.266666667,3.035163879,45.59129879
6.3,3.038406372,45.60324372
6.333333333,3.039550781,45.58788635
6.366666667,3.038787842,45.55377197
6.4,3.028869629,45.54695126
6.433333333,3.019523621,45.54524619
6.466666667,3.016662598,45.54695126
6.5,3.01361084,45.54695126
6.533333333,3.014183044,45.53160729
6.566666667,3.014945984,45.52138001
6.6,3.018188477,45.51797127
6.633333333,3.0210495,45.49070786
6.666666667,3.028488159,45.47878373
6.7,3.03401947,45.43961991
6.733333333,3.035926819,45.40218099
6.766666667,3.036880493,45.36476366
6.8,3.036499023,45.33246602
6.833333333,3.025627136,45.31207576
6.866666667,3.024864197,45.29169188
6.9,3.016281128,45.27301226
6.933333333,3.007507324,45.23906299
6.966666667,3.001213074,45.1763033
7,3.007888794,45.12546116
7.033333333,3.007888794,45.08481579
7.066666667,3.011512756,45.05434824
7.1,3.014945984,45.03573612
7.133333333,3.021240234,44.99345538
7.166666667,3.024864197,44.96303001
7.2,3.033638,44.96303001
7.233333333,3.040122986,44.96978999
7.266666667,3.050041199,44.95965027
7.3,3.042221069,44.94106483
7.333333333,3.038787842,44.92586245
7.366666667,3.031730652,44.92586245
7.4,3.028488159,44.93430779
7.433333333,3.028869629,44.93768622
7.466666667,3.023719788,44.94444362
7.5,3.026008606,44.9512017
7.533333333,3.019523621,44.9512017
7.566666667,3.02066803,44.92248461
7.6,3.028869629,44.89546814
7.633333333,3.035926819,44.8853398
7.666666667,3.040504456,44.87858844
7.7,3.041267395,44.89546814
7.733333333,3.039550781,44.89209186
7.766666667,3.032302856,44.88196403
7.8,3.023529053,44.88196403
7.833333333,3.01990509,44.8667752
7.866666667,3.016662598,44.83134809
7.9,3.014945984,44.7841413
7.933333333,3.014945984,44.77571503
7.966666667,3.017425537,44.7841413
8,3.024482727,44.79762553
